str_no_string|,
str_comment_you_give_castle_in_my_control|Ոչ զղջասցիս զի տուեր ինձ զ{s51}: Վստահ լեր զի պաշտպանեցից զնա:
str_comment_you_captured_a_castle_allied_friendly|Լուեալ եմ թէ պաշարեցեր եւ առեր զբերդն {s51}: Այս էր մեծ գործ! Հպարտ եմ կոչել զքեզ բարեկամ իմ:
str_comment_you_captured_a_castle_allied_spiteful|Լուեալ եմ թէ պաշարեցեր եւ առեր զբերդն {s51}: Բարի՛ գործ! Փութով կարասցուք կողոպտել զամենայն բերդս նոցա, յափշտակել զամենայն հարստութիւնս եւ արարել զայիրի կանայս նոցա սպասաւորս մեր:
str_comment_you_captured_a_castle_allied_unfriendly_spiteful|Լուեալ եմ թէ պաշարեցեր եւ առեր զբերդն {s51}: Ասեն թէ ամենայն ոք ունի զիւր յաջողակ օրն: Վայելեա՛ զայս որչափ կարես, յառաջ քան զգալն վարդապետացն որք յղեսցեն զքեզ ի գուբն յորում արժանի ես լինելոյ:
str_comment_you_captured_a_castle_allied_unfriendly|Լուեալ եմ թէ պաշարեցեր եւ առեր զբերդն {s51}: Թէպէտ եւ յառաջագոյն ունէաք խնդիրս ընդ միեանս, բայց շնորհաւորեմ զքեզ:
str_comment_you_captured_a_castle_allied|Լուեալ եմ թէ պաշարեցեր եւ առեր զբերդն {s51}: Արդ փախչին նոքա ի մէնջ!
str_comment_you_captured_my_castle_enemy_spiteful|Լուեալ եմ թէ յարձակեալ ես ի վերայ բերդի իմոյ ({s51}) եւ պղծեալ զտուն իմ: Յուսամ զի բանտքն հաճելի են քեզ, զի յառաջիկայ տարիս բազում ժամանակ անցուցանեսցես անդ:
str_comment_you_captured_my_castle_enemy_chivalrous|Տիրացեալ ես {s51} բերդի, որ է օրինաւոր հող իմ: Յուսամ զի տացես ինձ հնարաւորութիւն վերստին ստանալոյ զայն!
str_comment_you_captured_my_castle_enemy|Ունիս զայն ինչ որ է իմ -- զ{s51}: Ես ստիպեցից քեզ հրաժարիլ ի դմանէ:
str_comment_we_defeated_a_lord_unfriendly_spiteful|Խորհիմ թէ կամիս ըմպել ի յիշատակ յաղթանակի մերոյ ի վերայ {s54}: Ասեմ քեզ՝ ոչ վատներ զգինի քո: Պէտք են առաւել եւս գործք զի ջնջեսցիս զարատս ամօթալի արարքոց քոց զորս արարեր յառաջագոյն:
str_comment_we_defeated_a_lord_unfriendly|Ոչ մոռացայց թէ որպէս պատերազմեցաք ուս-ուսի ընդդէմ {s54}, բայց ոչ մոռացայց եւ զայլ իրս որք են ի մէջ մեր:
str_comment_we_defeated_a_lord_cruel|Մեծ յաղթանակ տարաք ի վերայ {s54}, այնպէս չէ՞? Արարաք զբանակ նորա կերակուր ագռաւուց:
str_comment_we_defeated_a_lord_quarrelsome|Որպիսի՜ զուարճութիւն էր տեսանել զ{s54} յորժամ մտրակէին զնա, այնպէս չէ՞?
str_comment_we_defeated_a_lord_upstanding|Ոչ երբեք մոռացայց զյաղթանակն զոր տարաք ի վերայ {s54}: Մատուսցուք զգոհութիւնս մեր Աստուծոյ եւ աղօթեսցուք զի ոչ դարձցուք մեք ամբարտաւան մարդիկ:
str_comment_we_defeated_a_lord_default|Այս էր մեծ յաղթանակ ի վերայ {s54}, այնպէս չէ՞? Հպարտ եմ զի պատերազմեցայ ի կողմն քո:
str_comment_we_fought_in_siege_unfriendly_spiteful|Խորհիմ թէ կամիս ըմպել ի յիշատակ յաղթանակի մերոյ ի վերայ {s54}: Ասեմ քեզ՝ ոչ վատներ զգինի քո: Պէտք են առաւել եւս գործք զի ջնջեսցիս զարատս ամօթալի արարքոց քոց զորս արարեր յառաջագոյն:
str_comment_we_fought_in_siege_unfriendly|Ոչ մոռացայց թէ որպէս անցաք ընդ պարիսպս {s51}, բայց ոչ է հնար մոռանալ զխնդիրս որք են ի մէջ մեր:
str_comment_we_fought_in_siege_cruel|Ոչ մոռացայց թէ որպէս անցեալ ընդ պարիսպս {s51} հատաք զամենայն զինուորս պաշտպանաց սրով: Այս մնասցէ որպէս քաղցր յիշատակ:
str_comment_we_fought_in_siege_quarrelsome|Յիշե՞ս թէ որպէս հեծեծէին զինուորք թշնամւոյն յորժամ անցաք ընդ պարիսպս {s51}? Խորհէին թէ են ի մէջ ապահովութեան! Խլեցաք զայդ անշարժ ծաղր ի դիմաց նոցա!
str_comment_we_fought_in_siege_upstanding|Ոչ մոռացայց թէ որպէս միասին առաք զ{s51}: Մատուսցուք զգոհութիւնս մեր Աստուծոյ եւ աղօթեսցուք զի ոչ դարձցուք մեք ամբարտաւան մարդիկ:
str_comment_we_fought_in_siege_default|Ոչ մոռացայց թէ որպէս միասին առաք զ{s51}: Հպարտ եմ զի պատերազմեցայ ի կողմն քո:
str_comment_we_fought_in_major_battle_unfriendly_spiteful|Խորհիմ թէ կամիս ըմպել ի յիշատակ յաղթանակի մերոյ ի վերայ {s51}: Ասեմ քեզ՝ ոչ վատներ զգինի քո: Պէտք են առաւել եւս գործք զի ջնջեսցիս զարատս ամօթալի արարքոց քոց զորս արարեր յառաջագոյն:
str_comment_we_fought_in_major_battle_unfriendly|Ոչ մոռացայց թէ որպէս պատերազմեցաք միասին առաջի {s51}, բայց ոչ մոռացայց եւ զայլ խնդիրս մեր:
str_comment_we_fought_in_major_battle_cruel|Ոչ մոռացայց զպատերազմն այն առ {s51}, յորժամ հերձաք զշարքս թշնամւոյն եւ նոքա փախչէին աղաղակելով: Յոյժ քաղցր յիշատակ էր այն:
str_comment_we_fought_in_major_battle_quarrelsome|Պատերազմն զոր արարաք առաջի {s51} էր մեծ պատերազմ: Անպիտանքն փախչէին վասն փրկութեան կենաց իւրեանց:
str_comment_we_fought_in_major_battle_upstanding|Ոչ երբեք մոռացայց թէ որպէս պատերազմեցաք ուս-ուսի ի մեծ պատերազմին առաջի {s51}: Եկա՛յք, մատուսցուք վերստին զգոհութիւնս մեր Աստուծոյ:
str_comment_we_fought_in_major_battle_default|Ոչ երբեք մոռացայց թէ որպէս պատերազմեցաք ուս-ուսի ի մեծ պատերազմին առաջի {s51}: Հպարտ եմ զի պատերազմեցայ ի կողմն քո:
str_comment_you_defeated_a_lord_allied_liege|Յաղթանակ տարար ի սրամարտի ընդ այնմ անպիտան {s54}: Ուրախ եմ լսել զայս:
str_comment_you_defeated_a_lord_allied_unfriendly_spiteful|Լուեալ եմ թէ պատերազմեցար ընդ {s54} եւ յաղթեցեր նմա: Ուրեմն այսօր է յաջողակ օր քո:
str_comment_you_defeated_a_lord_allied_spiteful|Լուեալ եմ թէ պատերազմեցար ընդ այն շուն {s54} եւ յաղթեցեր նմա: Ա՜հ, կամէի տեսանել զնա յորժամ մղկտայր առաջի քո խնդրելով զգթութիւն:
str_comment_you_defeated_a_lord_allied_unfriendly_chivalrous|Լուեալ եմ թէ պատերազմեցար ընդ {s54} եւ յաղթեցեր նմա: Յուսամ զի ոչ արարեր զանպատիւ իրս զի հասանիցես այսմ:
str_comment_you_defeated_a_lord_allied|Լուեալ եմ թէ պատերազմեցար ընդ {s54} եւ յաղթեցեր նմա: Վայելեա՛ զյաղթանակ քո:
str_comment_you_defeated_me_enemy_chivalrous|Պարտ է տալ զարժանին յաղթանակի քում ի վերջին հանդիպման մերում, բայց տենչամ վրէժխնդրութեան!
str_comment_you_defeated_me_enemy_spiteful|Սպասեմ այնմ պահու յորժամ վերստին հանդիպեցից քեզ: Նենգութիւնք քո ոչ եւս խաբեսցեն զիս երկրորդ անգամ, եւ ես մեծաւ հաճութեամբ լուիցից զքոյդ աղաչանս վասն գթութեան:
str_comment_you_defeated_me_enemy|Ի վերջին հանդիպման մերում, {playername}, դու եղեր առաւել քաջ քան զիս: Բայց հաւաստի լեր զի ոչ եւս թոյլ տաց այսմ պատահել:
str_comment_i_defeated_you_enemy_spiteful|Դեռ եւս կամի՞ս: Եթէ ստիպեսցես զիս վերստին պատերազմել ընդ քեզ՝ տաց զաղիքս քո կերակուր շանց իմոց:
str_comment_i_defeated_you_enemy_chivalrous|Վերստին եկիր առաջի իմ փորձել զարիութիւն քո, {playername}?
str_comment_i_defeated_you_enemy_benevolent|Վերստին եկիր առաջի իմ: Ոչ երբեք ուսանիցիս զդաս քո?
str_comment_i_defeated_you_enemy_coldblooded|Դու ես յամառ ինչ չարիք:
str_comment_i_defeated_you_enemy|Քանի՞ անգամ պարտ է ինձ հարուածել զքեզ զի ուսանիցիս գիտել զտեղի քո?
str_comment_we_were_defeated_unfriendly_spiteful|Յորժամ տեսի զքեզ վերջին անգամ՝ դու պարտեալ էիր ի {s54} եւ ի մարդկանց նորա: Զքեզ համարիմ պատասխանատու վասն այսր աղէտի: Որքա՜ն տխուր է զի ողջ մնացեր:
str_comment_we_were_defeated_unfriendly|Յորժամ տեսի զքեզ վերջին անգամ՝ դու պարտեալ էիր ի {s54} եւ ի մարդկանց նորա: Տեսանեմ զի ողջ ես:
str_comment_we_were_defeated_cruel|Յորժամ տեսի զքեզ վերջին անգամ՝ դու պարտեալ էիր ի {s54} եւ ի մարդկանց նորա: Մի՛ հոգար -- մեք գտցուք զնա եւ դառնացուսցուք զյաղթանակ նորա:
str_comment_we_were_defeated_default|Յորժամ տեսի զքեզ վերջին անգամ՝ դու պարտեալ էիր ի {s54} եւ ի մարդկանց նորա: Բարի է տեսանել զքեզ վերստին ի ոտին:
str_comment_you_were_defeated_allied_friendly_spiteful|Լուեալ եմ թէ {s54} յոյժ չարչարեալ է զքեզ: Մի՛ հոգար, բարեկա՛մ, ես գտից զնա եւ բերից զգլուխ նորա քեզ ընծայ:
str_comment_you_were_defeated_allied_unfriendly_cruel|Լուեալ եմ թէ {s54} կոտորեալ է զմարդիկ քո որպէս զոչխարս: Բայց դու արդ աստ կաս ողջ եւ առոյգ: Որպիսի՜ յուսախաբութիւն:
str_comment_you_were_defeated_allied_spiteful|Լուեալ եմ թէ {s54} ջախջախեալ է զմարդիկ քո որպէս զմրջիւնս: Հա՛հ! Մանուկք ոչ պարտին խառնիլ ի խաղս մեծաց, {որդեա՛կ/աղջի՛կ իմ}!
str_comment_you_were_defeated_allied_pitiless|Լուեալ եմ թէ {s54} յաղթեալ է քեզ եւ ցրուեալ զզօրս քո: Այս է յուսախաբութիւն:
str_comment_you_were_defeated_allied_unfriendly_upstanding|Լուեալ եմ թէ {s54} յաղթեալ է քեզ: Թերեւս պարտիս խորհել թէ վասն էր Աստուած ոչ է ընդ քեզ եւ քննել զանձն քո:
str_comment_you_were_defeated_allied_unfriendly|Լուեալ եմ թէ {s54} յաղթեալ է քեզ ի պատերազմի: Ջանա՛ զի սպանանիցին ոչ այնքան բազումք ի մարդկանց քոց, բարի՞:
str_comment_you_were_defeated_allied|Լուեալ եմ թէ {s54} յաղթեալ է քեզ ի պատերազմի: Բայց մի՛ վհատիր! Փութով կշիռն փոխեսցի:
str_comment_you_helped_my_ally_unfriendly_chivalrous|Լուեալ եմ թէ {s54} զերծաւ ի հաւանական պարտութենէ շնորհիւ քո: Զոր ինչ եւ խորհեսցիմ վասն քո՝ պարտիմ տալ զարժանին գործոյ քում:
str_comment_you_helped_my_ally_liege|Լուեալ եմ թէ հողատէրն իմ {s54} զերծաւ ի հաւանական պարտութենէ շնորհիւ քո:
str_comment_you_helped_my_ally_unfriendly_spiteful|Լուեալ եմ թէ {s54} զերծաւ շնորհիւ քո: Խորհեցա՞ր թէ նա է պատանի օրիորդ մի, որում պէտք է փրկութիւն? Չէ՛ ինչ փոյթ -- այս է յաճախակի սխալ:
str_comment_you_helped_my_ally_spiteful|Լուեալ եմ թէ {s54} զերծաւ ի մտրակումնէ շնորհիւ քո: Ըստ իս՝ պարտ էր քեզ թողուլ զի նոքա առնուցուն զդաս իւրեանց:
str_comment_you_helped_my_ally_chivalrous|Լուեալ եմ թէ {s54} զերծաւ ի դժուար վիճակէ շնորհիւ քո: Այս է յիրաւի ազնուական արարք:
str_comment_you_helped_my_ally_default|Լուեալ եմ թէ {s54} զերծաւ ի դժուար վիճակէ շնորհիւ քո: Բարի՛ գործ!
str_comment_you_abandoned_us_unfriendly_spiteful|Գարշելի՛ տզրուկ! Լքեր դու զմեզ առաջի {s54} եւ փախեա՞ր? Թքանեմ ի դէմս քո!
str_comment_you_abandoned_us_unfriendly_pitiless|Ոչ լքեր դու զիս ի ճակատ պատերազմի ընդդէմ {s54} եւ գնացեա՞ր? Ոչ ունիցիս դու այլ տեղի հանգստեան՝ բայց միայն զգերեզման մատնչի!
str_comment_you_abandoned_us_spiteful|Յընթացս պատերազմին ընդդէմ {s54} դու անյայտացար... Յուսամ զի ունիս զբարի պատճառս: Թերեւս ապականեցար զքեզ ի վախէ՞? Կամ ի դողդոջելոյ քում ոչ կարէիր ուղիղ պահել զզէնս քո?
str_comment_you_abandoned_us_chivalrous|Զի՞նչ եղեւ? Յընթացս պատերազմին ընդդէմ {s54} յանկարծ անյայտացար? Յուսամ զի վասն այնր էր զի վիրաւորեալ էիր յոյժ եւ ոչ կարէիր կալ ի ոտին, ապա թէ ոչ՝ ամօթալի լինէր ինձ պատերազմել ուս-ուսի ընդ վատի միոջ:
str_comment_you_abandoned_us_benefitofdoubt|Զի՞նչ եղեւ? Յընթացս պատերազմին ընդդէմ {s54} յանկարծ անյայտացար? Խորհեցայ թէ վիրաւորեալ ես, բայց այս թուեցաւ ինձ կասկածելի:
str_comment_you_abandoned_us_default|Զի՞նչ եղեւ? Միով ակնարկաւ տեսանէի զքեզ պատերազմել ընդդէմ {s54}, իսկ միւսովն՝ ոչ եւս էիր անդ:
str_comment_you_ran_from_me_enemy_spiteful|Ի վերջին հանդիպման մերում փախեար ի մէնջ որպէս զշունն որ տեսանէ զգաւազան: Արդ եկիր վերստին զի հաչեսցե՞ս առաջի իմ, թէ՞ զի ոռնասցես խնդրելով զգթութիւն?
str_comment_you_ran_from_me_enemy_chivalrous|Ի վերջին հանդիպման մերում փախեար ի մէնջ: Ուսի՛ր կալ որպէս այր եւ պատերազմել!
str_comment_you_ran_from_me_enemy_benevolent|Յետ տեսանելոյ զփախուստ քո ի վերջին հանդիպման մերում՝ յուսայի թէ ոչ եւս պատերազմեցից ընդ քեզ:
str_comment_you_ran_from_me_enemy_coldblooded|Ի վերջին հանդիպման մերում փախեար ի մէնջ: Այն էր իմաստուն արարք:
str_comment_you_ran_from_me_enemy|Յանցեալումն յորժամ ուղիք մեր հանդիպեցան՝ յաջողեցար փախչել ի մէնջ, բայց յայլում նուագի ոչ լիցիս այդպէս յաջողակ:
str_comment_you_ran_from_foe_allied_chivalrous|Յընթացս պատերազմին ընդդէմ {s54} դու լքեալ ես զմարդիկ քո եւ փախեալ: Աղօթեցի զի այս ոչ լիցի ճշմարիտ: Զի այսպիսի արարք բերէ ամօթ մեզ ամենեցուն:
str_comment_you_ran_from_foe_allied_upstanding|Յընթացս պատերազմին ընդդէմ {s54} դու լքեալ ես զմարդիկ քո եւ փախեալ: Ես ոչ միշտ հաւատամ այսպիսի զրուցաց: Գիտեմ եւս զի արտակարգ ժամանակք պահանջեն արտակարգ որոշումս: Բայց խնդրեմ զի զգուշութեամբ պահեսցես զանուն եւ զպատիւ քո, ապա թէ ոչ՝ եթէ լքանիցեմք զմարդիկ մեր ի ճակատ պատերազմի՝ ոչ ոք կամեսցի յարիլ ի բանակս մեր:
str_comment_you_ran_from_foe_allied_spiteful|Ի դէպ, ասեն թէ {s54} ստիպեաց քեզ վազել որպէս զնապաստակ: Լքեր դու զմարդիկ քո ի մահ: Այն էր յիրաւի տեսարան արժանի տեսութեան!
str_comment_you_defeated_my_friend_enemy_pragmatic|{s54} թերեւս պարտեցաւ ձեզ, բայց դուք ոչ կարէք յաղթել մեզ ամենեցուն:
str_comment_you_defeated_my_friend_enemy_chivalrous|Լուեալ եմ թէ {s54} անձնատուր եղեւ քեզ: Յայնմհետէ սպասեմ զի խաչեսցուք զսուրս մեր:
str_comment_you_defeated_my_friend_enemy_spiteful|Համբաւ քո ընթանայ յառաջ քան զքեզ, {playername}: {s54} թերեւս կլանեաց զնենգութիւնս քո, բայց եթէ պատերազմեսցիս ընդ իս՝ տեսցես զի ես եմ առաւել ճարպիկ հակառակորդ:
str_comment_you_defeated_my_friend_enemy|Լուեալ եմ թէ {s54} պարտեցաւ քեզ: Բայց ես եմ որ պարտիմ փորձել զհմտութիւնս քո յիրաւի:
str_comment_you_captured_a_lord_allied_friendly_spiteful|Լուեալ եմ թէ {s54} անձնատուր եղեւ քեզ: Յուսամ զի կեղեքեցեր զնա վասն ամենայն դահեկանի:
str_comment_you_captured_a_lord_allied_unfriendly_spiteful|Լուեալ եմ թէ {s54} անձնատուր եղեւ քեզ: Արդէն լցուցեր զպարկս քո փրկագնօք: Որպիսի՜ չարիք զի դրամն ոչ կարէ առնել զստորն ազնուական:
str_comment_you_captured_a_lord_allied_chivalrous|Լուեալ եմ թէ {s54} անձնատուր եղեւ քեզ: Ապրի՛ս: Յուսամ զի պատուեցար զնա ըստ արժանւոյն աստիճանի նորա:
str_comment_you_captured_a_lord_allied|Լուեալ եմ թէ {s54} անձնատուր եղեւ քեզ: Բարի՛ գործ: Փրկագինն պարտի լինել յոյժ պատկառելի գումար:
str_comment_you_let_go_a_lord_allied_chivalrous|Լուեալ եմ թէ {s54} անձնատուր եղեւ քեզ, բայց դու արձակեցեր զնա: Այսպիսի վեհանձնութիւն բերէ բազում օգուտս դատի մերում:
str_comment_you_let_go_a_lord_allied_upstanding|Լուեալ եմ թէ {s54} անձնատուր եղեւ քեզ, բայց դու արձակեցեր զնա: Այս էր պատուական արարք: Բայց միանգամայն եւ վտանգաւոր:
str_comment_you_let_go_a_lord_allied_coldblooded|Լուեալ եմ թէ {s54} անձնատուր եղեւ քեզ, բայց դու արձակեցեր զնա: Այս էր յոյժ նրբագեղ արարք: Բայց նրբագեղութիւնն ոչ յաղթէ ի պատերազմի:
str_comment_you_let_go_a_lord_allied_unfriendly_spiteful|Լուեալ եմ թէ {s54} անձնատուր եղեւ քեզ, բայց դու արձակեցեր զնա: Որպիսի՜ նուրբ արարք! Վստահ եմ զի որբքն մնացեալք առանց հօր եւ այրի կանայքն որք ողբան զայրս իւրեանց՝ մատուսցեն քեզ զյարգանս իւրեանց:
str_comment_you_let_go_a_lord_allied|Լուեալ եմ թէ {s54} անձնատուր եղեւ քեզ, բայց դու արձակեցեր զնա: Դէ՛, ես ոչ կարեմ ասել քեզ թէ զինչ պարտիս առնել ընդ գերիս քո:
str_comment_you_let_me_go_spiteful|Ի վերջին հանդիպման մերում ես ապաւինեցայ ի գթութիւն քո եւ դու թողեր զիս երթալ: Յուսամ զի զուարճալի էր խաղալն ընդ իս որպէս կատուն ընդ մկան: Զի փութով դու անկցիս ի ձեռս իմ եւ ես եւս վայելեցից զայդ հաճոյս:
str_comment_you_let_me_go_enemy_chivalrous|Ի վերջին հանդիպման մերում ես ապաւինեցայ ի գթութիւն քո եւ դու թողեր զիս երթալ: Այս էր յոյժ վեհանձն եւ անմոռանալի: Բայց պարտիմ յիշել զի թագաւորութիւնն յորում ծառայեմ ես՝ է ի պատերազմի ընդ ձերումն:
str_comment_you_let_me_go_enemy_coldblooded|Ի վերջին հանդիպման մերում ես ապաւինեցայ ի գթութիւն քո եւ դու թողեր զիս երթալ: Բայց մեք տակաւին եմք թշնամիք եւ ոչ կարեմ երաշխաւորել զի հատուցից քեզ նոյնպիսի գթութեամբ:
str_comment_you_let_me_go_enemy|Ի վերջին հանդիպման մերում ես ապաւինեցայ ի գթութիւն քո եւ դու թողեր զիս երթալ: Բայց տակաւին եմք ի պատերազմի...
str_comment_you_let_me_go_default|Յանցելում տեսութեան մերում ողորմեցար յիս եւ արձակեցեր զիս յազատութիւն: Բարերար ես դու, եւ փա՜ռք Աստուծոյ, զի աշխարհք մեր ոչ եւս պատերազմին:
str_comment_pledged_allegiance_allied_martial_unfriendly|Ասեն թէ երդուար հաւատարմութեամբ տեառն մերում, {s54}: Աղաչեմ, մի՛ անարգեր զմեզ վատկոտ արարմամբք քովք:
str_comment_pledged_allegiance_allied_martial|Ասեն թէ տէրն մեր, {s54}, ընկալաւ զերդումն հաւատարմութեան քոյ: Տենչամ երթալ ընդ քեզ ի մարտ ընդդէմ թշնամեաց!
str_comment_pledged_allegiance_allied_quarrelsome_unfriendly|Ասեն թէ տէրն մեր, {s54}, ընկալաւ զերդումն հաւատարմութեան քոյ: Յո՛յժ վատ: Աղաչեմ, հեռի՛ կաց յինէն:
str_comment_pledged_allegiance_allied_quarrelsome|Ասեն թէ տէրն մեր, {s54}, ընկալաւ զերդումն հաւատարմութեան քոյ: Մարտնչեա՛ ընդ թշնամիս, յարգեա՛ զաւագս, մի՛ վիճեսցիս ընդ իս - եւ ամենայն ինչ բարի եղիցի քեզ:
str_comment_pledged_allegiance_allied_selfrighteous_unfriendly|Ասեն թէ տէրն մեր, {s54}, ընկալաւ զերդումն հաւատարմութեան քոյ: Ի տեղի նորա՝ ես ոչ վստահէի քեզ եւ ոչ զլուացումն սպասուց:
str_comment_pledged_allegiance_allied_selfrighteous|Ասեն թէ տէրն մեր, {s54}, ընկալաւ զերդումն հաւատարմութեան քոյ: Մարտի՛ր քաջութեամբ - եւ ընկալցիս զվարձս: Մատնեսցես զմեզ - եւ մեք աւրինակաւ քո ցուցցուք ամենեցուն, թէ զինչ սպասէ մատնչաց:
str_comment_pledged_allegiance_allied_cunning_unfriendly|Ասեն թէ տէրն մեր, {s54}, ընկալաւ զերդումն հաւատարմութեան քոյ: Ոչ է ինձ այս հաճոյ, այլ լաւագոյն է զի դու ընդ մեզ ես, քան թէ ընդդէմ մեր:
str_comment_pledged_allegiance_allied_cunning|Ասեն թէ տէրն մեր, {s54}, ընկալաւ զերդումն հաւատարմութեան քոյ: Բարի է: Յայսմ դժնդակ ժամանակի որչափ բազում լիցին հմուտ զինուորք, այնչափ լաւագոյն: Հայեցայց ես ի վերայ քո:
str_comment_pledged_allegiance_allied_debauched_unfriendly|Ասեն թէ տէրն մեր, {s54}, ընկալաւ զերդումն հաւատարմութեան քոյ: Անշուշտ, վաղվաղակի մատնեսցես զնա, իսկ ես սիրով տեսից զմահապատիժ քո վասն դաւաճանութեան:
str_comment_pledged_allegiance_allied_debauched|Ասեն թէ տէրն մեր, {s54}, ընկալաւ զերդումն հաւատարմութեան քոյ: Գերազա՛նց... Կարծեմ թէ մեք վաղվաղակի եղիցուք բարեկամք: Բայց յիշեա՛ - եթէ մատնեսցես զմեզ, այն եղիցի մեծագոյն սխալն ի կեանս քո:
str_comment_pledged_allegiance_allied_goodnatured_unfriendly|Ասեն թէ տէրն մեր, {s54}, ընկալաւ զերդումն հաւատարմութեան քոյ: Արդ, ոչ կարեմ ասել թէ վստահիմ քեզ, այլ տեառն մերում յայտնի է ամենայն:
str_comment_pledged_allegiance_allied_goodnatured|Ասեն թէ տէրն մեր, {s54}, ընկալաւ զերդումն հաւատարմութեան քոյ: Գիտասջի՛ր, զի տէրն մեր՝ այր ազնուական է յոյժ, եւ վասն հաւատարմութեան հատուցանէ նա բարութեամբ եւ առատաձեռնութեամբ!
str_comment_pledged_allegiance_allied_upstanding_unfriendly|Ասեն թէ տէրն մեր, {s54}, ընկալաւ զերդումն հաւատարմութեան քոյ: Աւա՜ղ, գիտեմ ես զքէն զբազում ինչ, զի կարացից բարւոք վարիլ ընդ քեզ: Սակայն, յուսամ թէ լուրքն զորս լուայ՝ սխալ են:
str_comment_pledged_allegiance_allied_upstanding|Ասեն թէ տէրն մեր, {s54}, ընկալաւ զերդումն հաւատարմութեան քոյ: Մարտնչեա՛ ընդ թշնամիս մեր առանց երկիւղի, մի՛ մոռանար զպատիւ եւ զողորմութիւն: Բարի անունն նոյնքան յարգի է, որչափ սուրն սրածայր եւ երիվարն արագընթաց:
str_comment_our_king_granted_you_a_fief_allied_friendly_cruel|Ասեն թէ {s54} վարձատրեաց զքեզ եւ ետ քեզ ի կալուած զ{s51}: Մի՛ մոռանար. խնայելով զգաւազանն՝ ապականես զշինականսն!
str_comment_our_king_granted_you_a_fief_allied_friendly_cynical|Ասեն թէ {s54} վարձատրեաց զքեզ եւ ետ քեզ ի կալուած զ{s51}: Մաղթեմ քեզ զամենայն յաջողութիւնս, այլ զգո՛յշ լեր! Մարդիկ չար են, նախանձոտք եւ ագահք յինչս այլոց: Մերձ կաց առ իս, եւ լիցիս յապահովի:
str_comment_our_king_granted_you_a_fief_allied_friendly|Ասեն թէ {s54} վարձատրեաց զքեզ, եւ {s51} արդ կալուած քո է: Մաղթեմ նորոյ երկրի քո զամենայն բարգաւաճութիւնս!
str_comment_our_king_granted_you_a_fief_allied_unfriendly_upstanding|Ասեն թէ {s54} վարձատրեաց զքեզ եւ ետ քեզ ի կալուած զ{s51}: Աղաչեմ մի՛ մոռանար, զի ամբարտաւանութիւնն՝ նախակարապետ է կործանման:
str_comment_our_king_granted_you_a_fief_allied_unfriendly_spiteful|Ասեն թէ {s54} վարձատրեաց զքեզ եւ ետ քեզ ի կալուած զ{s51}: Սակայն ես խորհիմ, թէ մեծութիւն տուաւ քեզ միայն առ ի դառնագոյն նուաստացման, յորժամ նա ընկեսցէ զքեզ անդրէն ի տիղմն, ուստի եւ ելերն:
str_comment_our_king_granted_you_a_fief_allied_spiteful|Ասեն թէ {s54} վարձատրեաց զքեզ եւ ետ քեզ ի կալուած զ{s51}: Յուսասցուք, զի արդարեւ արժանի եղեր այդպիսւոյ ողորմութեան:
str_comment_our_king_granted_you_a_fief_allied|Ասեն թէ {s54} վարձատրեաց զքեզ եւ ետ քեզ ի կալուած զ{s51}: Տեսանեմ, զի գործք քո բարւոք ընթանան:
str_comment_you_renounced_your_alliegance_enemy_friendly|Ասեն թէ լքեր դու զտէրն մեր, {s54}, եւ արդ թշնամիք եմք մեք: Դառն է ինձ գիտել, զի պարտ եղիցի մեզ հանդիպիլ ի մարտի:
str_comment_you_renounced_your_alliegance_friendly|Ասեն թէ լքեր դու զտէրն մեր, {s54}, եւ արդ թշնամիք եմք մեք: Յուսասցուք, զի ոչ հասցէ բանն ի պատերազմ:
str_comment_you_renounced_your_alliegance_unfriendly_spiteful|Միշտ թուէր ինձ թէ մատնեսցես զ{s54} - եւ այնպէս եղեւ! Յուսամ պատրաստ ես ընդունել զանարգ մահ!
str_comment_you_renounced_your_alliegance_unfriendly_moralizing|Ասեն թէ լքեր դու զտէրն մեր, {s54}, եւ արդ թշնամիք եմք մեք: Խորհիմ ես, թէ գործեցեր զնենգութիւն:
str_comment_you_renounced_your_alliegance_enemy|Ասեն թէ դու եւ տէրն մեր {s54} ոչ միաբանեցայք: Աւա՜ղ, հին բարեկամք յաճախ դառնան թշնամիք:
str_comment_you_renounced_your_alliegance_default|Ասեն թէ դու եւ տէրն մեր {s54} արդ թշնամիք էք: Արդ, այդ քո գործ է, այլ ի մարտի մի՛ ակնկալեր յինէն ողորմութեան:
str_comment_you_claimed_the_throne_1_player_liege|Մարդիկ իմ ասացին ինձ թէ ոմանք տեսանեն զքեզ որպէս յաջորդ թագաւոր այսր երկրի: Յուսամ զի վերջ տաս այսմ յիմար եւ վտանգաւոր խօսից:
str_comment_you_claimed_the_throne_2_player_liege|Մարդիկ իմ ասացին թէ ոմանք ի յընկերակցաց քոց ասացին գեղջկաց թէ դու ունիս յաւակնութիւնս ի վերայ գահոյն: Յուսամ զի այս ամենայն եղեւ առանց հրամանի քո:
str_comment_lord_intervened_against_me|Հակառակութիւն իմ ընդ {s54} է յայտնի ամենեցուն, եւ {s50} գործէ ի նպաստ թշնամւոյ իմոյ:
str_comment_i_protested_marshall_appointment|Յայտնի է ամենեցուն զի ես ընդդէմ կացայ ընտրութեան {s50} որպէս սպարապետ ի {s54}:
