dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Կամիմ յետաձգել զկարգումն տիրոջն, մինչեւ խորհրդակցեցայց ընդ հպատակս իմ:
dlga_wealth_comparison_5:mayor_pretalk|Ըստ յարձակմանց ի վերայ ճանապարհորդաց, քաղաքն {s4} է վտանգաւորագոյն: Աստ ի {s5}, մեք նուազ ենթակայ եմք յարձակմանց աւազակաց, քան {reg4} քաղաքք, եւ առաւել քան {reg5}:
dlga_start:svenbn_hunting1_1.1|Փա՜ռք մեզ, {playername}: Դանիացիք ի փախուստ են եւ կորուսին զբազում եարլս ի ճակատամարտիս: Թէպէտ եւ ոչ ամենայն եարլք արկին զսուրս իւրեանց, այլ հասաք մեծի յաղթութեան, եւ մարդիկ նոցա ոչ եւս լիցին համարձակք ի յետագայ մարտս:^^Ունիմ աւետիս վասն քո: Սուեն Ցլապարանոց փախստական եղեւ ի Ռեդինգամ եւ ամրացաւ անդ: Մարդիկ իմ հալածեցին զնա եւ պարտին գտանիլ մերձ ի շէնն, եթէ կամիցիս յարձակել, ապա զօրականքն ընդ քեւ են: Ահա՛ քո պատեհութիւն: Չո՛գ ի Ռեդինգամ եւ հատո՛յց առնուլ ի Սուենէ:
dlga_village_elder_prosperity:close_window|Այս զիս ուրախ առնէ: Շարունակեցէ՛ք աշխատիլ յօգուտ ձերոյ ընտանեաց:
dlga_jarlbjornneg_4:jarlbjornneg_52|Հըմ... Ես սպասէի վարձատրութեան վասն իմոց ծառայութեանց:
dlga_viking_plunder_share_final:close_window|Այս ոսկին լիցի վարձ վասն մերոյ քաջութեան: Փառաբանեսցո՛ւք զՕդին!
dlga_petro_leaderwessex_37:petro_leaderwessex_38_1|Ամենայն զոր նա ասէ է ճշմարիտ:
dlga_lord_talk:kennemerjarl_juicio_2|{s11}, ես դարձայ ի վանսն եւ արարի զամենայն բարւոք, յանուն ձեր:
dlga_lord_political_marriage:marriage_consider|Այս է լուրջ քայլ: Ինձ պիտոյ է ժամանակ խորհելոյ վասն այսր:
dlga_maelbresail_men3:close_window|Ամենայն ինչ պատրաստ է: Հաճեցէ՛ք հրաւիրել զձեր մարդիկս ի դահլիճն, ուր ձեզ սպասեն ընտիր ըմպելիք եւ համադամ կերակուրք:
dlga_harald_meeting3:harald_meeting4|Ի Նորտումբրիա, մեր դանիացի եղբարքն հզաւրացան: Նոքա վարեն զթագաւորութիւնն՝ կառավարելով զնոցա խամաճիկ-թագաւորն: Եղեն սակաւ մի ապստամբութիւնք Անգլաց, բայց նոքա սահմանափակեալ են եւ դաժանաբար ճնշեալ: Ոչինչ ծանրակշիռ: Վերջին լուրն այն է, զի Որդիքն Ռագնարայ շարժեցան ի հարաւ եւ գրաւեցին զվայր մի, յայտնի որպէս Սնոտինգահամ ի Մերսիա: Թագաւորն Մերսիոյ դժգոհ եղեւ, եւ պաշարեաց զնոսա անդ իւրով բանակաւ, ստանալով զաւրակցութիւն ի Թագաւորէն Արեւմտեան Սաքսոնաց: Որդիքն Ռագնարայ ի ծանր վիճակի են, մեր առաքելութիւնն է երթալ ի Յորուիկ եւ յարիլ ի զաւրն, զոր ժողովէ Ռատբարտ Ռագնարսսոն, ի զաւրավիգն իւրոց եղբարց: Անտի մեք յառաջեսցուք ի հարաւ, զի հանդիպեսցուք Անգլաց եւ Սաքսոնաց: Սակաւ մի յաջողութիւն, եւ մեք սպանցուք զնոցա թագաւորսն: Յայնժամ ճանապարհն ի հարաւ բաց լիցի վասն յափշտակութեանց: Դուք դարձջիք հարուստ առ ձեր կանայս եւ մանկունս յայսմ ամի:
dlga_merchant_rare_item:view_sword|Ցո՛յց ինձ զայդ զէն: Ես պատրաստ եմ վճարել բարձր գին վասն լաւ պողովատի:
dlga_mayor_enterprise_2:mayor_enterprise_3_iron_works|Դարբնոց:
dlga_abad_catach2c:abad_catach3c|Հա՛յր սուրբ, մատեանն է յոյժ կարեւոր վասն իմ: Ես պարտիմ գտանել զվայրն, ուր վիկինգք պահեն զգերիսն: Նոքա են ի մեծի վտանգի: Դուք պարտիք աւգնել ինձ, հա՛յր սուրբ: Այս մատեան է իմ միակ յոյս փրկելոյ զնոսա:
dlga_sacerdote1_action:close_window|Ոչինչ: Մնացէ՛ք բարեաւ:
dlga_bodo_danishcamp3:bodo_danishcamp3_2|Այո՛, մասամբ, այլ յարձակումքն եւ ասպատակութիւնք վիկինգաց ունին արմատս խորագոյնս, քան զայս պաշարումն: Թո՛յլ տուր ինձ բացատրել:
dlga_torture_menu4:torture_menu5.1|Հա՛ր նմա քանի մի անգամ ի դէմսն, բայց զգոյշ լե՛ր, մի՛ սպանաներ, վասն նորա տակաւին ոչ են վճարեալ փրկանք:
dlga_companion_loyalty_oath_taken_final_v3:close_window|Ես վստահիմ քեզ, բարեկա՛մ: Մեք միասին կերտեսցուք մեր փառքն:
dlga_spouse_descendescia_reply:spouse_descendescia_reply2.2|Բարւոք են, ամենեսեան են ողջք եւ երջանիկք, իսկ {reg3?{reg5} ձեր որդիքն:ձեր որդին} եւ {reg3?{reg5} ձեր դուստրքն,: ձեր դուստրն} պարզապէս գուրգուրան ի վերայ ձեր:
dlga_viking_raid_loot:close_window|Այս ոսկին լիցի վարձ վասն մերոյ տանջանաց: Փառաբանեսցո՛ւք զաստուածս մեր!
dlga_companion_questions_beda5:companion_questions_beda61|Ես լսեմ:
dlga_petro_leader_31:petro_leader_32|Որդիքն Ռագնարայ հզաւր են, որպէս երբեք: Նոցա ազդեցութիւն տարածեցաւ ի բազում հողս: Դուք պարտիք լսել ինձ, եւ գիտել վասն նոցա առաջարկութեան:
dlga_start:viking_raid_loot_distribution|Ահա քո բաժինն աւարի: Մեք լաւ թալանեցաք զայս քաղաքն!
dlga_cundwalh_historia4:cundwalh_historia41|Որպէս եւ իցէ, ըստ իմում կարծեաց, ճակատքն (շարքն) – աղբ են: Լաւագոյն է թողուլ զնոսա պիղծ վալլիացւոցն: Եթէ ճշմարտապէս կամիս յաղթել ի մարտի - օգտագործեա՛ զScildweall (վահանափակ) (սեղմելով զստեղնս F4 եւ F5), որ ստիպեսցէ քոց մարդկանց ստեղծել պատնէշ վահանաց: Մեք փոխ առաք զայս ձեւ ի հռովմայեցւոց եւ այն գտաւ յոյժ յարմար վասն մերոց վայրաց: Այս կարգն է սքանչելի, իսկական որոտումն մարտից: Եւ դու պարտիս զայն քաջ ուսանել: Scildweall թոյլ տացէ քեզ յաղթել ի մարտս, մարտնչելով ուս ուսի ընդ քոց մարդկանց: Մարզեցէ՛ք մինչեւ ի ցաւ ծնկաց եւ կոշտաց ձեռաց ի նիզակաց եւ ի վահանաց: Կարես նոյնպէս օգտագործել զWecg կարգն (սեղմելով զստեղնս F4 եւ F6), յորում քո մարդիկք կարգեսցին ի ձեւ սեպոյ:
dlga_minister_talk:minister_ask_about_war|Որպէ՞ս ընթանայ պատերազմն:
dlga_player_siege_tributo:close_window|Հա՞րկ: Հա՛: Ես ծաղրեմ զձեզ յանդիման: Դուք ոչինչ ստասջիք աստի:
dlga_aelfred_ad_2:aelfred_ad_32|Շնորհիւ իմոյ յաղթանակի մերձ առ Դուարնենեաւ, մեք նուազեցուցաք զթիւ դանիացւոց, կամեցողաց այցելել ի Թագաւորութիւն Արեւմտեան Սաքսոնաց, վեց հարիւր արամբք:
dlga_companion_reginhard43:companion_reginhard5|Ընդէ՞ր: Այս գաղտնիք է, զոր ես ոչ եմ պատրաստ յայտնել:
dlga_addonstoryabad5:addonstoryabad4|Ես գնահատեմ զձեր խնամք վասն մերոց որբոց, բայց ոչ կարեմ պատասխանել ձերում հարցի: Պաշտպանն իմ տակաւին ոչ կամի, զի դուք գիտասջիք զանուն նորա: Ասացից միայն, զի նա է կարեւոր ոմն այր, նոյնիսկ թագաւորքն բազմին ընդ նմա ի միում սեղանի, եւ անսան նորա բանից:
dlga_torture_menu5:torture_menu6b|Բարի, արդ արարից զամենայն: Նա յերկար ժամանակս յիշեսցէ զձեր հիւրընկալութիւն:
dlga_aelfred_ad_72:aelfred_ad_74|Լուարո՛ւք, դուք արդ յոյժ կարեւոր էք վասն մեր: Ըմբռնեմ, ձեզ ոչ է դիւրին, եւ դուք կամիք հասանել առ Սուեն, բայց նա է յայնմ կողման մարտկոցաց: Մարտնչելն ընդ մեր միասին – է լաւագոյն միջոց մերձենալոյ առ նա: Արարէ՛ք ուրեմն ինչ-որ բան վասն այսորիկ! Մեք եմք ի մէջ կենաց եւ մահու, Սաքսոնք ունին պէտս ձեր, եւ պատրաստ են վարձատրել վասն ծառայութեան: Ես վճարեցից ձեզ 10000 ոսկի յիմմէ սեփական գանձէ: Համամի՞տ էք?
dlga_start:viking_tribute_failed_v2|Դուք ոչ վճարեցէք զհարկն! Արդ տեսջի՛ք, թէ որպէս այրին ձեր տունքն!
dlga_tavernkeeper_rumor:tavernkeeper_rumor2.5|Վերջերս Ալֆրեդ, եղբայր թագաւորի Արեւմտեան Սաքսոնաց, ամուսնացաւ ընդ Էլֆուինայ, դստեր Էթելրեդայ Մուկիլայ եւ տիկնոջ Էթելֆլեդայ, ի թագաւորական տոհմէ Մերսիոյ: Եւ ո՞ գիտէ, թէ յոր հասուսցէ այսպիսի դաշինք Սաքսոնաց եւ Մերսիացւոց...
dlga_com_regalo6:do_member_trade|Շնորհակալ եմ, հպարտութիւն լնու զիս վասն պարգեւացս այսոցիկ:
dlga_alfredthegreat3:alfredthegreat41|Ես ունիմ թուղթ վասն ձեր ի Բյերնէ, որդւոյ Ռագնարայ:
dlga_lord_duel_winner_report_final:close_window|Դուք յաղթեցէ՛ք արդար մարտի: Ես պահեցից զիմ խոստումն:
dlga_spouse_action_h3:close_window.2|Օ՜հ, թող լիցի ոչ այսօր, գլուխ իմ յոյժ ցաւի:^^[Ձեզ պարտ է բարւոքել զյարաբերութիւնս ընդ կնոջ ձերոյ]
dlga_ailchu1_conversationcamp3:close_window.2|Թերեւս գունդս ոչ է լաւագոյն տեղի վասն նորա, խորհեցայց վասն այնորիկ:
dlga_olvir_dialog4:olvir_dialog411|{s2}^^Ես մեռանիմ... Տո՛ւք ինձ զսուր իմ, զի Աստուածք տեսցեն, թէ ես մարտիկ եմ, եւ բացցեն զդրունս ի յարկս Օդինայ:
dlga_ragnarssons_11:ragnarssons_12_4|Ես սոսկ պատգամաւոր եմ: Եւ բանք Իվարայ ինձ հաճոյ ոչ են: Նմա լաւագոյն էր հետեւիլ իւրում լեզուի:
dlga_start:siege_final_assault|Այս է վերջին մարտն! Յառա՛ջ, պատռեցէ՛ք զթշնամւոյ շարքսն!
dlga_trainer_explain_combat_9:trainer_pretalk2|Այո՛, ընտրել՝ թէ ո՞ւր հարուածել – է կարեւորագոյն հմտութիւն: Գլխաւոր ուղղութիւնք են չորք՝ հարուած յաջմէ, հարուած յահեկէ, հարուած ի վերուստ եւ խոցումն: [Ըստ կանխադրութեան, զի կառավարեսջիք զուղղութիւն հարուածոյ, շարժեցէ՛ք զմկնիկն յայն ուղղութիւն, յորմէ պարտ է սկսանել զհարուածն, պահելով զձախ կոճակն մկնիկի]:
dlga_petro_leaderwessex_41:petro_leaderwessex_42|Բարի, ես երթայց յԱստուրիա, եւ տաց զվկայութիւն ընդդէմ Սիլոյ:
dlga_merchant_invest:invest_agree|Ահա քեզ ոսկին: Յուսամ՝ շահն լիցի մեծ:
dlga_raethbarthbodoletter_82:raethbarthbodoletter_81|Ես խոստացայ ձեզ զՍուեն Ցլապարանոց, եւ նա լիցի ձերն, բայց ինձ պիտոյ է ժամանակ, զի գտից զնա: Ես ունեցից առաւել հնարաւորութիւնս վասն այսորիկ, եթէ դուք կարասջիք աւգնել ինձ յայսմ հարցի:
dlga_campeon1_dialog4_3:campeon1_dialog5|Կարեւորագոյնն այժմ է ամենեցուն հետեւել Մորրիգանայ:
dlga_kennemerjarl_8:kennemerjarl_92|Ես խորհէի, թէ դուք ըմբռնեսջիք, զի վասն իմ այս գործ պատուոյ է:
dlga_start:village_elder_festival_final_v2|Այսօր մեք տօնեմք զբերքահաւաքն! Դուք էք մեր պատուաւոր հիւրն, տէ՛ր իմ!
dlga_frisianship_merchant_5:frisianship_merchant_6|Շնորհակալ եմ! Բայց միթէ մեք ոչ պարտիմք փութալ, եւ երթալ լի առագաստաւք? Նաւն կայ! Զի՞նչ լինի? Ընդէ՞ր մեք կացաք?
dlga_egil_mensajerey:egil_mensajerey2|Ո՛չ, դուք ոչ պարտիք ձեռնարկել զինչ եւ է գործս առանց հարցանելոյ զիս: Իմանա՞ս:
dlga_lord_talk:jarlbjornneg_1|Ես խօսեցայ ընդ եղբարսն: Նոքա պատրաստ են վարել զբանակցութիւնս ընդ Սաքսոնաց:
dlga_villager_info:villager_talk|Ամենայն ինչ որպէս զհինն... Մշակեմք զանդս, վճարեմք զհարկս: Երբեմն աւազակք անհանգստացուցանեն, բայց մեք կամք:
dlga_viking_berserker_rage:close_window|Այս այր է դիւահար! Նետահարեցէ՛ք զնա յեռուստ!
dlga_maelbresail_aftermorrigan9_1:maelbresail_aftermorrigan10|Ես արդարանա՞մ: Ո՛չ, ես ուրախ եմ այսմ:
dlga_spouse_descendescia_reply:spouse_pretalk|Ամենայն ինչ է բարւոք, բայց միակ իրն, զորմէ ես տրտմիմ, այն է՝ զի մեք ոչ ունիմք զորդիս:
dlga_kinghorik_quest_thething91:kinghorik_quest_thething94|Անուն իմ է {playername}, եւ ես մարդասպան ոչ եմ: Ինձ հարկ եղեւ պաշտպանիլ: Օլվիր առաջինն հան զսուրն, իսկ անդ ընտրութիւն սակաւ է, կամ նա, կամ ես: Սուեն Ցլապարանոց յափշտակեաց զմայր իմ, իսկ Սիգուրդ Ռագնարսսոն խոստացաւ ինձ դարձուցանել զնա անդ, ի դաստակերտի Ուլֆայ: Բայց փոխանակ նոցա, անդ երեւեցաւ Օլվիր իւրովք մարդկաւք, նոքա յարձակեցան ի վերայ մեր: Ի մարտի նա վիրաւորեցաւ եւ յոյժ շուտով մեռաւ:
dlga_dog_talk_pretrain:dog_talk_train|Է՛հ, ունիմ ինչ առ քեզ...
dlga_eormenred_historia3:eormenred_historia4|Հմմ, խիստ պարզ է... Մարթ էր կասկածել զթակարդ... շարունակեցէ՛ք:
dlga_spouse_action_h4:close_window|[Իսկ յետ ինն ամսոց ձեզ լիցի որդի: Պատերազմք, հեռաւոր ուղեւորութիւնք, դուք եւ ոչ նկատեսջիք, թէ որպէս սահեսցէ ժամանակն]
dlga_morrigan_flirt1:morrigan_flirt3_4|Ունիմ ես ապարանջան թանկագին: Հաճո՞յ է քեզ:
dlga_kinghorik_quest_thething20_6:kinghorik_quest_thething20_7.1|Վասն այնորիկ, զի թէպէտ եւ դու քայլող խնդիր ես, որ ոչ խորշի օգտագործել զմարդիկ վասն սեփական շահոյ, ի խորս սրտի դու բարի մարդ ես: Իսկ կարեւորն – դու իմ բարեկամն ես...
dlga_prisionero_interrogation22:prisionero_interrogation32|Ընդ ձեզ ոչ էր Սուեն: Ո՞ւր է այդ ցլազաւակն?
dlga_companion_recruit_backstory_response2:companion_recruit_signup_quest.1|Ես խորհիմ, թէ մեզ պիտոյ է ուղեցոյց մինչեւ ի թաքստոցն, իսկ յետոյ դուք կարասցէք թողուլ զմեզ:
dlga_merchant_talk:merchant_quest_about_job|Զայնմէ գործոյ, զոր տուէք ինձ...
dlga_companion_responsebodostory1:companion_responsebodostory2|{s2}
dlga_ulf_testigo46_7:ulf_testigo8|Հանդարտեա՛! Ոչ է հարկաւոր այնպէս զարհուրեցուցանել զնա:
dlga_bodo_danishcamp2:bodo_danishcamp3|Կանխել զյարձակումն Դանիացւոց: Յայնժամ դաշինքն ոչ եւս պիտոյ լինիցի, ոչ ապաքէ՞ն:
dlga_kennemerjarl_92:kennemerjarl_93|Վասն ձեր այդչափ կարեւոր է պատի՞ւն? Բարի շարժառիթ է վասն ձեր, որպէս ըմբռնեմ... Բարի, ես կարեմ առնել զայս՝ ես տաց ձեզ տեղի ի մէջ այնոցիկ, որք մարտնչեն ընդդէմ Սուենայ, եթէ դուք ապացուցանեսջիք զձեր կարեւորութիւնն:
dlga_petro_leaderwessex_34_8:petro_leaderwessex_34_9|Ուրախ եմ տեսանել զձեզ, Բոդո՛: Բազում ամք անցին յայնմհետէ, յորժամ մեք տեսաք զմիմեանս յետին անգամ:
dlga_kinghorik_quest_revenge68_1:kinghorik_quest_revenge68|Ես գիտեմ, զի Սիգուրդ կամի լինել թագաւոր: Բայց որպէ՞ս ընծայն կարէ հարթել նմա զճանապարհն առ իմ գահ:
dlga_village_elder_tell_capture_mission_3b:village_elder_capture_mission_4b.4|Զգամ, զի այս գործ խոստանայ ինձ բարի վարձս.
dlga_maelbresail_aftermorrigan2_1:maelbresail_aftermorrigan3|Եւ այս խիստ կարեւոր է ինձ: Յաշխարհի մերում ոչ այնչափ դիւրին է գտանել զայդպիսի կատարողական մարդիկ:
dlga_companions_despuesduelo3_3:companions_despuesduelo3_4|Հարկ ոչ է մեղադրել զանձն: Ինձ թուէր, թէ զաւրաւոր էք հոգւով:
dlga_kinghorik_quest_thething36:kinghorik_quest_thething37|Ես ընդունիմ զորոշումն Ատենի: Ես երդնում կատարել զպարտաւորութիւնս, եդեալս ի վերայ իմ:^^{s2}
dlga_village_elder_recruit6:village_elder_pretalk.1|Ներեցէ՛ք, {reg59?տիկի՛ն:տէ՛ր}, բայց չիք ոք ի գեւղջ աստ, որ կամիցի ծառայել ձեզ.
dlga_start:lord_homage_offer|Ես կամիմ ծառայել ձեզ որպէս վասալ: Իմ սուրն եւ իմ դղեակն լիցին ձերն:
dlga_port_chief_info_d_1:port_chief_info_main|Հողմ: Եւ արուեստ ըմբռնելոյ զայն առագաստիւք: Եթէ ոչ գուցէ հողմ, ապա թիավարեա, որչափ բազում թիավարք, այնչափ արագագոյն նաւարկես: Եթէ ունիս աւելի քան զմի նաւ, նաւատորմն ընթանայ արագութեամբ ծանրագոյն նաւին: Հմտութիւն Ծովային նաւարկութեան եւս ներգործէ յարագութիւն նաւին:
dlga_town_plague_rumor:close_window|Յոյժ բարի: Ոչ մի ոք ոչ մտցէ ի քաղաքն առանց իմ թոյլտուութեան:
dlga_start:viking_jarl_challenge|Դուք յանդգնեցաք յարձակել ի իմոց նաւսն! Ես կոչեմ զձեզ ի մենամարտ!
dlga_sigurd_quest_collect1:sigurd_quest_collect2|Այո՛: Սուեն յարձակեցաւ ի վերայ նաւու, յորում ես նաւէի, եւ յափշտակեաց զմայր իմ: Նա սխալեցաւ մարդով վասն ինչ-որ իրի, որ էր առ նմա: Սուեն հատուսցէ վասն այսորիկ, իսկ ես փրկեցից զմայր իմ:
dlga_companion_responsebodostory14:companion_responsebodostory15|Իմանա՞ս: Եթէ ոչ իրս այս, նա, հաւանաբար, մեռեալ լինէր, որպէս եւ այլ ամենայն ժողովուրդն ի նաւին «Վոդեն Ռիկ»: Հիւանդութիւն մաւր քո նոյնպէս ծառայեաց ի նպաստ նմա, Վիկինգք կարծեն թէ խելագարութիւնս այս հպումն է Դից: Սվեն տարաւ զմայր քո ընդ հիւսիս, եւ իւրեանց եթող զիս, զի վաճառեսցեն զիս ի ստրկութիւն: Քանզի Սվեն խորհի թէ նա իսկ է մարդն այն, վասն որոյ նոքա յարձակեցան ի վերայ մեր: Մեք պարտիմք շտապել, քանզի յորժամ Սվեն Ցլապարանոց ծանիցէ զճշմարտութիւնն, սպանանէ զնա:
dlga_start:peasant_gift_v2|Տէ՛ր իմ, մեք բերաք ձեզ զայս ընտիր գինի, որպէս նշան մերոյ երախտագիտութեան:
dlga_campeon1_dialog3_1:campeon1_dialog3_2|Թուի թէ դուք խռովեալ էք, Աէ՛դ? Հէ՛, քանի մի ժամ յառաջ դուք պատմէիք ինձ, թէ որպէս կարէք յաղթել զինչ եւ է գազանի!
dlga_lord_talk:frisaking_1|Ասեն, թէ դուք գիտէք կազմել զսքանչելի խնճոյքս!
dlga_prison_guard_talk:prison_guard_bribe|Կամիմ այցելել միում ի բանտարկելոց: Թերեւս {reg6} դինար օգնեսցեն մեք համաձայնիլ:
dlga_reveal_1:reveal_fight|Անուն իմ է {playername}. Ծանաւթ է՞ ձեզ իմ անուն: Ես ունիմ քանի մի հարցս առ ձեզ:
dlga_raethbarth_wp_71:raethbarth_wp_72|{s2}^^Ինձ հաճոյ է, յորժամ ինձ ծառայեն խելացի մարդիկ: Դուք բոլորովին իրաւացի էք:
dlga_clovisvshegil_conv4:clovisvshegil_conv5_3|Կարծեմ թէ երկոքին եւս սխալ էք: Զինուորն պարտի զուգակցել յանձին իւրում զամենայն, զզօրութիւն եւ զմիտս:
dlga_king_summons_v2:close_window|Ես փութամ ի պալատն: Թող իմ սուրն լիցի պատրաստ:
dlga_bedavsagathinos_conv3:bedavsagathinos_conv4|Վասն է՞ր խորհիս այդպէս:
dlga_lord_reveal5:lord_duel_start.2|Հա-հա-հա՜, զի՞նչ է այս? Կաշառակերութի՞ւն? Պատրաստեցարո՛ւք մարտնչելոյ!
dlga_lord_reveal5af:lord_talk|{s11}
dlga_ulf_dialog5:ulf_dialog6|Նա ստէ! Ես տեսի զտակառս գարեջրոյ եւ զմիս եղջերուաց ի հարեւան ամբարի: Մեք ուտեմք եւ ըմպեմք զայս պղծութիւն, մինչ նա թաքոյց զամենայն համադամսն:
dlga_village_elder_tell_capture_mission_2:village_elder_tell_capture_mission_3b|Պատերազմն եւ ախտն տարան զբազումս ի նոցանէ... Մեք ունիմք պիտոյս նոր արեան, զի տունք մեր ոչ դատարկասցին.
dlga_sacerdote_ayuda2:sacerdote_angry|Դու վաճառե՞ս զհաւատ քո: Դու խո՛զ! Թող Վոտան պարեսցէ ի վերայ փորոտեաց քոց!
dlga_petro_leader_40:petro_leader_50|Եհաս պահն, յորում պարտ է ձեզ ընդունել զորոշումն:
dlga_start:companion_recruit_intro_responseregin|{s5}
dlga_companion_request_leave_home:close_window|Երթա՛, բարեկա՛մ: Քո ընտանիքն է առաջինը: Ես սպասեցից քո դարձին:
dlga_port_chief_info_main_3:port_chief_build_ship_main_4.1|Բաւ է եւ շոճի:
dlga_war_description_3:mayor_war_description_4|Կամիմ յիշեցուցանել, զի համքարութիւն մեր ոչ հոգայ վասն քաղաքականութեան: Բայց եթէ {s10} հարցանէր զխրատ իմ, ապա որպէս հաւատարիմ ծառայ թագին, ասացից այսպէս. մարթ է անվերջ երազել զգահն ամենայն Կալրադիոյ, բայց առանց հզօր զօրաց ոչ կարես յառաջանալ եւ ոչ մի քայլ: Զօրաց պիտոյ են դրամք, իսկ դրամք գան ի վաճառականութենէ, որ վնասի ի պատերազմաց: Վասն որոյ երբեմն լաւագոյն հնար մարտի վասն գահոյն է՝ բնաւ ոչ մարտնչիլ... Եթէ հասկանայք զինչ ասեմն:
dlga_start:town_arena_win_final_v4|Յաղթանա՛կ! {playername} է նոր չեմպիոնն ասպարէզի!
dlga_bardo_bt4:close_window|Հետաքրքիր երգ է: Շնորհակալ եմ:
dlga_dwywei_conversationcamp3:close_window|Վասն քո կորեաւ ազգ քո, եւ ոչ կամիս զի խստիւ դատեսցե՞ն զքեզ: Կատարեալ անմտութիւն:
dlga_problema_juicio8:problema_juicio10.1|Այո՛: Իմ դատավճիռ – հողն պատկանէ եարլին:
dlga_kinghorik_quest_thething13:kinghorik_quest_thething13_1|Մեք կամիմք լսել զկարծիս ներկայ Եարլաց: Զի՞նչ ասէք դուք?
dlga_viking_skald_song:close_window|Քո երգն լիցի իմ յաւիտենական յիշատակն: Շնորհակալ եմ, երգի՛չ:
dlga_cundwalh_historia5:lord_pretalk.1|Բա՛! Միում նուագ ես սպանից զքեզ: Մնա՛ս բարեաւ:
dlga_port_prisoners:port_prisoners_2|Խնդրե՞ս զգերեվաճառն: Է՛հ, {s9}, քաղաքս ոչ ծաղկէր առանց գերեաց իմոց, եթէ ունիս կալանաւորս, պատրաստ եմ գնել զնոսա:
dlga_minister_basicnanksystem2:minister_basicnanksystem1.2|Յաւելուլ 10000 ոսկի ի գանձարան թագաւորութեան:
dlga_start:town_famine_bread_riot|Ժողովուրդն յարձակեցաւ ի շտեմարանսն! Պահակքն ոչ կարեն կասեցուցանել զնոսա!
dlga_village_elder_tell_capture_mission_2:village_elder_tell_capture_mission_3a|Մեք ունիմք կանայք, բայց նոքա ոչ են բաւական վասն ամենեցուն: Մեր այրքն լքանեն զգեւղն, զի երթիցեն գտանել բախտ իւրեանց յայլուր: Եթէ մեք ոչ ունիմք նոր օրիորդս, գեւղն մեր մեռցի.
dlga_start:village_drought|Երկինքն է որպէս պղինձ... Անձրեւ ոչ տեղայ յերկու ամսոց: Արտքն չորացան:
dlga_morrigan_flirt1_2:morrigan_storytoplayer3|Կա՛մ խելագար ես դու, կա՛մ պարզապէս յիմար: Մոռացի՛ր զիս:
dlga_bedavsagathinos_conv4:bedavsagathinos_conv5|Անգամ քահանայք ձեր կեան ի մեղս: Ելվիրեան ժողովն արգել կղերականացն կենակցիլ ընդ կանանց իւրեանց: Ապա թէ ոչ, զիա՞րդ մարթին նոքա կատարել զՀաղորդութիւնն: Եթէ նոքա տեղի տան փորձութեանց մարմնոյ, ապա զի՞նչ մարթ է ակնկալել ի հօտէ նոցա:
dlga_esposabarco_12:esposabarco_13|{s2}^^Ոչ միայն լաւագոյն է ինձ, այլեւ երջանիկ եմ! Այնչա՜փ ուրախ եմ լինել ընդ ձեզ: Բայց մեզ պարտ է դառնալ ի տուն վասն ընթրեաց! Հայր քո սպասէ մեզ:
dlga_ragnarssons_4:ragnarssons_5|{s2}
dlga_frisianship_merchant_2x:close_window.1|Ո՛չ: Հաւատացէ՛ք ինձ, ես կացից առ ղեկավար թիակն միայն ի յետին դէպս!
dlga_bodo_choiceside4_s:bodo_choiceside4.1|Ես ընկալայց զիւրաքանչիւր ընտրութիւն քո, {playername}:
dlga_companion_leave:close_window|Յոյժ բարի: Ես երթայց իմով ճանապարհաւ: Մնացէ՛ք բարեաւ:
dlga_lord_talk:kinghorik_ulf_testigo1|Ուլֆ Թորիրսսոն ոչ վկայեսցէ ընդդէմ իմ յԱտենի:
dlga_start:companion_duel_request|Տէ՛ր իմ, {s11} անարգեաց զիմ պատիւն! Ես կոչեմ զնա ի մենամարտ!
dlga_town_black_market_v2:view_wares_v2|Ցո՛յց ինձ, զինչ դու թագուցանես ընդ քլամիդաւ:
dlga_town_famine_bread_riot:town_distribute_food|Բաշխեցէ՛ք զհացն արդարութեամբ! Ոչ ոք ոչ մնասցէ սովեալ!
dlga_viking_funeral_pyre:close_window|Նա էր արժանի թշնամի: Յարգանք նորա յիշատակին:
dlga_halfdan_ad_6:halfdan_ad_71|Բարի, ես հայթայթեցից զանասունս: Միանգամայն, ես գտից զՍուեն եւ սպանից զնա, նաեւ առից զիմ բաժինն ի կողոպտելն զԱրեւմտեան Սաքսոնս:
dlga_village_elder_reconstruction_final:close_window|Այս զիս ուրախ առնէ: Շարունակեցէ՛ք աշխատիլ յօգուտ ձերոյ ընտանեաց:
dlga_viking_plunder_distribution:close_window|Այս ոսկին լիցի վարձ վասն մերոյ քաջութեան: Փառաբանեսցո՛ւք զՕդին!
dlga_bardo_sing:bardo_sing2|{reg59?Տիկին իմ:Տէր իմ}, ես յօրինեցից զայնպիսի դիւցազներգութիւն, զի յամենայն կղզիս յայտնի լիցի մեծութիւն {playername}ոյ! (նա ցատկէ ուրախութեամբ. ապա կանգնի եւ հանէ զխոր հառաչանք:) Սակայն, ես խնդրեմ ի ձէնջ սակաւ մի գումար, առ ի ծածկելոյ զծախս վասն գինւոյ... (նա հազայ) այսինքն վասն սեւակնի եւ... այլոց իրաց: Ինձ պիտոյ է 500 դահեկան:
